9.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,9.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,9.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,9.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,10.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,9.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,2.000,0.000,8.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,10.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,9.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,9.000
