9.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,9.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,8.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000
0.000,0.000,0.000,9.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,6.000,0.000,2.000,2.000,0.000,0.000
0.000,0.000,0.000,1.000,1.000,7.000,0.000,0.000,0.000,0.000
0.000,0.000,1.000,0.000,4.000,0.000,5.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,10.000,0.000,0.000
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,8.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,9.000
