9.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,9.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,9.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,9.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,9.000,0.000,0.000,1.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,9.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,1.000,0.000,9.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,10.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,9.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,9.000
